,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,task,go-task/task,['targets-general'],written-in-go,https://github.com/go-task/task,https://github.com/go-task/task,MIT,2017-02-27 00:46:04,2025-10-23 18:12:15,2025-10-17 12:56:59,2493,97.0,735,70,1021,353.0,820.0,14023,2025-09-17 15:08:44,3.45.4,23977656.0,242198.0,100,A task runner / simpler Make alternative written in Go.,440.0,440.0,222,35,True,1
1,just,casey/just,['targets-general'],written-in-rust,https://github.com/casey/just,https://github.com/casey/just,CC0-1.0,2016-06-17 06:08:08,2025-10-13 18:54:12,2025-10-13 18:54:11,1488,15.0,593,85,1467,316.0,967.0,28278,2025-09-27 21:11:12,1.43.0,22153525.0,316478.0,100,Just a command runner.,263.0,263.0,202,33,False,1
2,mise,jdx/mise,['targets-general'],written-in-rust,https://github.com/jdx/mise,https://github.com/jdx/mise,MIT,2023-01-09 14:44:21,2025-10-23 16:58:57,2025-10-23 16:53:40,4928,553.0,691,32,3664,,,20750,2025-10-22 15:14:09,2025.10.15,772640.0,154528.0,100,"dev tools, env vars, task runner.",,,344,30,True,3
3,poethepoet,nat-n/poethepoet,['targets-python'],written-in-python,https://github.com/nat-n/poethepoet,https://github.com/nat-n/poethepoet,MIT,2020-05-28 21:56:22,2025-10-18 17:52:21,2025-08-11 16:36:12,344,2.0,68,7,115,16.0,127.0,1857,2025-08-11 17:54:37,0.37.0,618.0,9.0,70,A task runner that works well with poetry or uv.,6050.0,6050.0,39,23,True,1
4,xc,joerdav/xc,['targets-general'],written-in-go,https://github.com/joerdav/xc,https://github.com/joerdav/xc,MIT,2021-10-15 09:00:29,2025-07-10 10:54:23,2025-07-10 10:54:23,265,,32,9,91,15.0,37.0,1338,2025-07-04 09:04:58,0.8.6,62493.0,1301.0,60,Markdown defined task runner.,,,15,19,True,3
5,taskipy,taskipy/taskipy,['targets-python'],written-in-python,https://github.com/taskipy/taskipy,https://github.com/taskipy/taskipy,MIT,2019-12-22 21:10:55,2024-11-26 16:35:16,2024-11-26 16:35:16,142,,27,6,62,9.0,28.0,646,2024-11-26 16:36:01,1.14.1,,,4,the complementary task runner for python.,7830.0,7830.0,14,19,True,3
6,mask,jacobdeichert/mask,['targets-general'],written-in-rust,https://github.com/jacobdeichert/mask,https://github.com/jacobdeichert/mask,MIT,2019-07-06 20:47:44,2025-07-15 03:25:23,2025-07-15 03:25:20,352,,54,17,52,14.0,52.0,1490,2024-10-13 21:06:29,mask/0.11.6,53175.0,709.0,22,A CLI task runner defined by a simple markdown file.,41.0,41.0,16,18,True,3
