,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,task,go-task/task,['targets-general'],written-in-go,https://github.com/go-task/task,https://github.com/go-task/task,MIT,2017-02-27 00:46:04,2025-12-25 16:45:21,2025-12-24 21:57:17,2595,112.0,756,70,1098,196.0,1023.0,14478,2025-12-24 22:03:48,3.46.4,24672702.0,265297.0,100,A task runner / simpler Make alternative written in Go.,481.0,481.0,230,35,True,1
1,just,casey/just,['targets-general'],written-in-rust,https://github.com/casey/just,https://github.com/casey/just,CC0-1.0,2016-06-17 06:08:08,2025-12-12 19:59:26,2025-12-12 19:59:25,1521,38.0,633,86,1520,332.0,989.0,29449,2025-12-10 20:48:44,1.45.0,25628025.0,360958.0,100,Just a command runner.,265.0,265.0,205,33,False,1
2,mise,jdx/mise,['targets-general'],written-in-rust,https://github.com/jdx/mise,https://github.com/jdx/mise,MIT,2023-01-09 14:44:21,2025-12-19 21:04:43,2025-12-19 21:01:41,5367,594.0,774,35,4151,,,22433,2025-12-18 18:47:56,2025.12.12,1340890.0,268178.0,100,"dev tools, env vars, task runner.",,,390,30,True,2
3,cargo-make,sagiegurari/cargo-make,['targets-rust'],written-in-rust,https://github.com/sagiegurari/cargo-make,https://github.com/sagiegurari/cargo-make,Apache-2.0,2017-06-23 12:19:21,2025-12-24 03:01:14,2025-10-29 15:15:58,2614,26.0,143,10,680,58.0,531.0,2876,2025-01-18 15:12:36,0.37.24,3426428.0,46303.0,100,Rust task runner and build tool.,139.0,139.0,79,27,True,3
4,poethepoet,nat-n/poethepoet,['targets-python'],written-in-python,https://github.com/nat-n/poethepoet,https://github.com/nat-n/poethepoet,MIT,2020-05-28 21:56:22,2025-12-25 15:14:41,2025-12-25 15:10:55,352,8.0,71,7,119,18.0,129.0,1921,2025-12-25 15:03:50,0.39.0,638.0,9.0,72,A task runner that works well with poetry or uv.,6143.0,6143.0,40,24,True,1
5,xc,joerdav/xc,['targets-general'],written-in-go,https://github.com/joerdav/xc,https://github.com/joerdav/xc,MIT,2021-10-15 09:00:29,2025-11-12 10:42:08,2025-11-12 10:42:07,271,6.0,32,9,98,17.0,38.0,1363,2025-07-04 09:04:58,0.8.6,68646.0,1372.0,60,Markdown defined task runner.,,,16,20,True,3
6,taskipy,taskipy/taskipy,['targets-python'],written-in-python,https://github.com/taskipy/taskipy,https://github.com/taskipy/taskipy,MIT,2019-12-22 21:10:55,2024-11-26 16:35:16,2024-11-26 16:35:16,142,,26,6,62,10.0,28.0,684,2024-11-26 16:36:01,1.14.1,,,4,the complementary task runner for python.,7868.0,7868.0,14,19,False,3
7,mask,jacobdeichert/mask,['targets-general'],written-in-rust,https://github.com/jacobdeichert/mask,https://github.com/jacobdeichert/mask,MIT,2019-07-06 20:47:44,2025-07-15 03:25:23,2025-07-15 03:25:20,352,,55,17,53,17.0,52.0,1527,2024-10-13 21:06:29,mask/0.11.6,55446.0,720.0,22,A CLI task runner defined by a simple markdown file.,41.0,41.0,16,18,True,3
