,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,task,go-task/task,['targets-general'],written-in-go,https://github.com/go-task/task,https://github.com/go-task/task,MIT,2017-02-27 00:46:04,2026-01-01 10:32:04,2025-12-24 21:57:17,2595,112.0,759,70,1103,196.0,1024.0,14512,2025-12-24 22:03:48,3.46.4,24900824.0,264902.0,100,A task runner / simpler Make alternative written in Go.,483.0,483.0,230,35,True,1,
1,just,casey/just,['targets-general'],written-in-rust,https://github.com/casey/just,https://github.com/casey/just,CC0-1.0,2016-06-17 06:08:08,2025-12-31 06:12:49,2025-12-31 06:12:48,1532,47.0,635,86,1531,333.0,992.0,29550,2025-12-10 20:48:44,1.45.0,25862504.0,359201.0,100,Just a command runner.,265.0,265.0,206,34,False,1,1.0
2,mise,jdx/mise,['targets-general'],written-in-rust,https://github.com/jdx/mise,https://github.com/jdx/mise,MIT,2023-01-09 14:44:21,2026-01-01 00:12:00,2025-12-31 17:13:47,5394,564.0,777,35,4184,,,22638,2025-12-30 19:04:59,2025.12.13,1388443.0,231407.0,100,"dev tools, env vars, task runner.",,,397,30,True,2,
3,cargo-make,sagiegurari/cargo-make,['targets-rust'],written-in-rust,https://github.com/sagiegurari/cargo-make,https://github.com/sagiegurari/cargo-make,Apache-2.0,2017-06-23 12:19:21,2025-12-29 03:01:13,2025-10-29 15:15:58,2614,26.0,143,10,681,58.0,531.0,2881,2025-01-18 15:12:36,0.37.24,3452716.0,46036.0,100,Rust task runner and build tool.,140.0,140.0,79,27,True,3,
4,poethepoet,nat-n/poethepoet,['targets-python'],written-in-python,https://github.com/nat-n/poethepoet,https://github.com/nat-n/poethepoet,MIT,2020-05-28 21:56:22,2025-12-30 20:46:12,2025-12-30 20:42:59,354,10.0,70,7,126,18.0,130.0,1934,2025-12-25 15:03:50,0.39.0,638.0,9.0,72,A task runner that works well with poetry or uv.,6146.0,6146.0,41,25,True,1,1.0
5,xc,joerdav/xc,['targets-general'],written-in-go,https://github.com/joerdav/xc,https://github.com/joerdav/xc,MIT,2021-10-15 09:00:29,2025-11-12 10:42:08,2025-11-12 10:42:07,271,6.0,32,9,98,17.0,38.0,1362,2025-07-04 09:04:58,0.8.6,69122.0,1355.0,60,Markdown defined task runner.,,,16,19,True,3,-1.0
6,taskipy,taskipy/taskipy,['targets-python'],written-in-python,https://github.com/taskipy/taskipy,https://github.com/taskipy/taskipy,MIT,2019-12-22 21:10:55,2024-11-26 16:35:16,2024-11-26 16:35:16,142,,26,6,62,10.0,28.0,684,2024-11-26 16:36:01,1.14.1,,,4,the complementary task runner for python.,7875.0,7875.0,14,19,False,3,
7,mask,jacobdeichert/mask,['targets-general'],written-in-rust,https://github.com/jacobdeichert/mask,https://github.com/jacobdeichert/mask,MIT,2019-07-06 20:47:44,2025-07-15 03:25:23,2025-07-15 03:25:20,352,,55,17,53,17.0,52.0,1525,2024-10-13 21:06:29,mask/0.11.6,55518.0,711.0,22,A CLI task runner defined by a simple markdown file.,41.0,41.0,16,18,True,3,
