,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,task,go-task/task,['targets-general'],written-in-go,https://github.com/go-task/task,https://github.com/go-task/task,MIT,2017-02-27 00:46:04,2026-03-26 17:57:01,2026-03-23 20:06:17,2692,97.0,796,71,1191,125.0,1143.0,15194,2026-03-08 20:08:19,3.49.1,27272574.0,303028.0,100,"A fast, cross-platform build tool inspired by Make, designed for modern workflows.",549.0,549.0,235,36,True,1,
1,just,casey/just,['targets-general'],written-in-rust,https://github.com/casey/just,https://github.com/casey/just,CC0-1.0,2016-06-17 06:08:08,2026-03-26 03:37:04,2026-03-26 03:37:03,1609,88.0,700,87,1638,308.0,1064.0,32393,2026-03-24 00:54:02,1.48.0,30913883.0,441626.0,100,Just a command runner.,267.0,267.0,219,34,False,1,
2,mise,jdx/mise,['targets-general'],written-in-rust,https://github.com/jdx/mise,https://github.com/jdx/mise,MIT,2023-01-09 14:44:21,2026-03-26 17:16:16,2026-03-26 13:31:59,6101,734.0,976,37,4956,,,26091,2026-03-26 11:20:44,2026.3.16,1232072.0,246414.0,100,"dev tools, env vars, task runner.",,,484,30,True,2,
3,cargo-make,sagiegurari/cargo-make,['targets-rust'],written-in-rust,https://github.com/sagiegurari/cargo-make,https://github.com/sagiegurari/cargo-make,Apache-2.0,2017-06-23 12:19:21,2026-02-05 18:50:48,2025-10-29 15:15:58,2614,,145,11,690,60.0,531.0,2915,2025-01-18 15:12:36,0.37.24,3938208.0,51145.0,100,Rust task runner and build tool.,140.0,140.0,79,26,True,3,
4,poethepoet,nat-n/poethepoet,['targets-python'],written-in-python,https://github.com/nat-n/poethepoet,https://github.com/nat-n/poethepoet,MIT,2020-05-28 21:56:22,2026-03-11 22:38:49,2026-02-26 22:42:25,375,21.0,76,8,141,17.0,138.0,1994,2026-02-26 22:43:24,0.42.1,675.0,9.0,76,A task runner that works well with poetry or uv.,6706.0,6706.0,44,25,True,1,6.0
5,mask,jacobdeichert/mask,['targets-general'],written-in-rust,https://github.com/jacobdeichert/mask,https://github.com/jacobdeichert/mask,MIT,2019-07-06 20:47:44,2026-01-10 22:37:49,2026-01-10 22:37:48,361,9.0,58,17,61,18.0,55.0,1575,2026-01-10 22:37:49,mask/0.11.7,58837.0,735.0,23,A CLI task runner defined by a simple markdown file.,41.0,41.0,17,20,True,3,
6,xc,joerdav/xc,['targets-general'],written-in-go,https://github.com/joerdav/xc,https://github.com/joerdav/xc,MIT,2021-10-15 09:00:29,2026-02-06 15:45:00,2026-02-06 12:14:07,277,6.0,32,9,102,17.0,43.0,1375,2026-01-05 15:29:14,0.9.0,80532.0,1519.0,61,Markdown defined task runner.,,,16,20,True,3,
7,taskipy,taskipy/taskipy,['targets-python'],written-in-python,https://github.com/taskipy/taskipy,https://github.com/taskipy/taskipy,MIT,2019-12-22 21:10:55,2024-11-26 16:35:16,2024-11-26 16:35:16,142,,26,6,62,11.0,28.0,706,2024-11-26 16:36:01,1.14.1,,,4,the complementary task runner for python.,8027.0,8027.0,14,19,False,3,
