,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition
0,task,go-task/task,['targets-general'],written-in-go,https://github.com/go-task/task,https://github.com/go-task/task,MIT,2017-02-27 00:46:04,2025-10-30 00:20:15,2025-10-17 12:56:59,2493,96.0,737,70,1026,360.0,820.0,14090,2025-09-17 15:08:44,3.45.4,24396334.0,246427.0,100,A task runner / simpler Make alternative written in Go.,441.0,441.0,222,35,True,1,
1,just,casey/just,['targets-general'],written-in-rust,https://github.com/casey/just,https://github.com/casey/just,CC0-1.0,2016-06-17 06:08:08,2025-10-25 20:01:40,2025-10-25 20:01:39,1492,17.0,597,85,1471,316.0,968.0,28391,2025-09-27 21:11:12,1.43.0,22490354.0,321290.0,100,Just a command runner.,263.0,263.0,203,33,False,1,
2,mise,jdx/mise,['targets-general'],written-in-rust,https://github.com/jdx/mise,https://github.com/jdx/mise,MIT,2023-01-09 14:44:21,2025-10-30 18:06:32,2025-10-30 18:01:41,4975,540.0,700,34,3714,,,21001,2025-10-29 23:49:46,2025.10.20,813393.0,203348.0,100,"dev tools, env vars, task runner.",,,353,30,True,2,
3,cargo-make,sagiegurari/cargo-make,['targets-rust'],written-in-rust,https://github.com/sagiegurari/cargo-make,https://github.com/sagiegurari/cargo-make,Apache-2.0,2017-06-23 12:19:21,2025-10-29 15:22:39,2025-10-29 15:15:58,2614,26.0,139,11,670,57.0,530.0,2850,2025-01-18 15:12:36,0.37.24,3154269.0,43809.0,100,Rust task runner and build tool.,137.0,137.0,79,27,True,3,True
4,poethepoet,nat-n/poethepoet,['targets-python'],written-in-python,https://github.com/nat-n/poethepoet,https://github.com/nat-n/poethepoet,MIT,2020-05-28 21:56:22,2025-10-18 17:52:21,2025-08-11 16:36:12,344,2.0,69,7,115,16.0,127.0,1861,2025-08-11 17:54:37,0.37.0,624.0,9.0,70,A task runner that works well with poetry or uv.,6056.0,6056.0,39,23,True,1,
5,xc,joerdav/xc,['targets-general'],written-in-go,https://github.com/joerdav/xc,https://github.com/joerdav/xc,MIT,2021-10-15 09:00:29,2025-10-27 11:26:19,2025-10-27 11:26:19,266,1.0,32,9,92,15.0,37.0,1342,2025-07-04 09:04:58,0.8.6,62972.0,1311.0,60,Markdown defined task runner.,,,15,19,True,3,
6,taskipy,taskipy/taskipy,['targets-python'],written-in-python,https://github.com/taskipy/taskipy,https://github.com/taskipy/taskipy,MIT,2019-12-22 21:10:55,2024-11-26 16:35:16,2024-11-26 16:35:16,142,,27,6,62,10.0,28.0,646,2024-11-26 16:36:01,1.14.1,,,4,the complementary task runner for python.,7831.0,7831.0,14,19,True,3,
7,mask,jacobdeichert/mask,['targets-general'],written-in-rust,https://github.com/jacobdeichert/mask,https://github.com/jacobdeichert/mask,MIT,2019-07-06 20:47:44,2025-07-15 03:25:23,2025-07-15 03:25:20,352,,54,17,52,15.0,52.0,1498,2024-10-13 21:06:29,mask/0.11.6,53656.0,715.0,22,A CLI task runner defined by a simple markdown file.,41.0,41.0,16,18,True,3,
