,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,task,go-task/task,['targets-general'],written-in-go,https://github.com/go-task/task,https://github.com/go-task/task,MIT,2017-02-27 00:46:04,2025-11-27 15:40:26,2025-11-26 16:59:45,2534,98.0,750,70,1054,358.0,838.0,14274,2025-11-11 20:22:03,3.45.5,25916669.0,259166.0,100,A task runner / simpler Make alternative written in Go.,462.0,462.0,226,35,True,1,4.0
1,just,casey/just,['targets-general'],written-in-rust,https://github.com/casey/just,https://github.com/casey/just,CC0-1.0,2016-06-17 06:08:08,2025-11-26 19:16:41,2025-11-26 19:16:41,1499,19.0,613,86,1492,329.0,975.0,28858,2025-11-12 21:09:56,1.43.1,23997521.0,337993.0,100,Just a command runner.,264.0,264.0,204,33,False,1,4.0
2,mise,jdx/mise,['targets-general'],written-in-rust,https://github.com/jdx/mise,https://github.com/jdx/mise,MIT,2023-01-09 14:44:21,2025-11-27 15:11:03,2025-11-27 15:05:52,5103,516.0,746,34,3866,,,21723,2025-11-27 15:12:43,2025.11.10,1266625.0,316656.0,100,"dev tools, env vars, task runner.",,,379,30,True,2,
3,cargo-make,sagiegurari/cargo-make,['targets-rust'],written-in-rust,https://github.com/sagiegurari/cargo-make,https://github.com/sagiegurari/cargo-make,Apache-2.0,2017-06-23 12:19:21,2025-11-21 03:01:14,2025-10-29 15:15:58,2614,26.0,139,11,674,57.0,531.0,2863,2025-01-18 15:12:36,0.37.24,3304996.0,45273.0,100,Rust task runner and build tool.,138.0,138.0,79,27,True,3,
4,poethepoet,nat-n/poethepoet,['targets-python'],written-in-python,https://github.com/nat-n/poethepoet,https://github.com/nat-n/poethepoet,MIT,2020-05-28 21:56:22,2025-11-24 19:47:36,2025-11-24 19:47:03,350,6.0,72,7,119,17.0,128.0,1882,2025-11-23 13:45:57,0.38.0,634.0,9.0,71,A task runner that works well with poetry or uv.,6096.0,6096.0,39,24,True,1,
5,xc,joerdav/xc,['targets-general'],written-in-go,https://github.com/joerdav/xc,https://github.com/joerdav/xc,MIT,2021-10-15 09:00:29,2025-11-12 10:42:08,2025-11-12 10:42:07,271,6.0,32,9,98,16.0,38.0,1354,2025-07-04 09:04:58,0.8.6,65225.0,1331.0,60,Markdown defined task runner.,,,16,20,True,3,
6,taskipy,taskipy/taskipy,['targets-python'],written-in-python,https://github.com/taskipy/taskipy,https://github.com/taskipy/taskipy,MIT,2019-12-22 21:10:55,2024-11-26 16:35:16,2024-11-26 16:35:16,142,,27,6,62,10.0,28.0,675,2024-11-26 16:36:01,1.14.1,,,4,the complementary task runner for python.,7847.0,7847.0,14,19,True,3,
7,mask,jacobdeichert/mask,['targets-general'],written-in-rust,https://github.com/jacobdeichert/mask,https://github.com/jacobdeichert/mask,MIT,2019-07-06 20:47:44,2025-07-15 03:25:23,2025-07-15 03:25:20,352,,54,17,52,15.0,52.0,1512,2024-10-13 21:06:29,mask/0.11.6,54356.0,715.0,22,A CLI task runner defined by a simple markdown file.,41.0,41.0,16,18,True,3,
