,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,task,go-task/task,['targets-general'],written-in-go,https://github.com/go-task/task,https://github.com/go-task/task,MIT,2017-02-27 00:46:04,2026-02-26 00:21:47,2026-02-23 20:26:14,2665,130.0,777,71,1150,143.0,1115.0,14884,2026-01-26 12:30:54,3.48.0,26865101.0,292011.0,100,"A fast, cross-platform build tool inspired by Make, designed for modern workflows.",517.0,517.0,233,36,True,1,1.0
1,just,casey/just,['targets-general'],written-in-rust,https://github.com/casey/just,https://github.com/casey/just,CC0-1.0,2016-06-17 06:08:08,2026-02-16 03:02:21,2026-02-11 16:17:06,1551,52.0,677,89,1566,344.0,1004.0,31663,2026-01-02 06:55:58,1.46.0,29285134.0,401166.0,100,Just a command runner.,267.0,267.0,211,34,False,1,
2,mise,jdx/mise,['targets-general'],written-in-rust,https://github.com/jdx/mise,https://github.com/jdx/mise,MIT,2023-01-09 14:44:21,2026-02-26 13:57:06,2026-02-26 13:01:27,5879,734.0,900,37,4702,,,25062,2026-02-26 11:18:14,2026.2.21,1266934.0,253386.0,100,"dev tools, env vars, task runner.",,,453,30,True,2,30.0
3,cargo-make,sagiegurari/cargo-make,['targets-rust'],written-in-rust,https://github.com/sagiegurari/cargo-make,https://github.com/sagiegurari/cargo-make,Apache-2.0,2017-06-23 12:19:21,2026-02-05 18:50:48,2025-10-29 15:15:58,2614,,145,10,690,59.0,531.0,2897,2025-01-18 15:12:36,0.37.24,3777890.0,49709.0,100,Rust task runner and build tool.,140.0,140.0,79,26,True,3,
4,poethepoet,nat-n/poethepoet,['targets-python'],written-in-python,https://github.com/nat-n/poethepoet,https://github.com/nat-n/poethepoet,MIT,2020-05-28 21:56:22,2026-02-26 07:37:36,2026-02-22 14:09:51,371,22.0,75,8,140,17.0,138.0,1979,2026-02-22 14:10:47,0.42.0,642.0,9.0,75,A task runner that works well with poetry or uv.,6557.0,6557.0,43,25,True,1,
5,mask,jacobdeichert/mask,['targets-general'],written-in-rust,https://github.com/jacobdeichert/mask,https://github.com/jacobdeichert/mask,MIT,2019-07-06 20:47:44,2026-01-10 22:37:49,2026-01-10 22:37:48,361,9.0,55,17,58,16.0,55.0,1564,2026-01-10 22:37:49,mask/0.11.7,57561.0,728.0,23,A CLI task runner defined by a simple markdown file.,41.0,41.0,17,20,True,3,
6,xc,joerdav/xc,['targets-general'],written-in-go,https://github.com/joerdav/xc,https://github.com/joerdav/xc,MIT,2021-10-15 09:00:29,2026-02-06 15:45:00,2026-02-06 12:14:07,277,6.0,32,9,102,16.0,43.0,1372,2026-01-05 15:29:14,0.9.0,76297.0,1467.0,61,Markdown defined task runner.,,,16,20,True,3,
7,taskipy,taskipy/taskipy,['targets-python'],written-in-python,https://github.com/taskipy/taskipy,https://github.com/taskipy/taskipy,MIT,2019-12-22 21:10:55,2024-11-26 16:35:16,2024-11-26 16:35:16,142,,27,6,62,10.0,28.0,698,2024-11-26 16:36:01,1.14.1,,,4,the complementary task runner for python.,7978.0,7978.0,14,19,False,3,
