,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,task,go-task/task,['targets-general'],written-in-go,https://github.com/go-task/task,https://github.com/go-task/task,MIT,2017-02-27 00:46:04,2025-11-13 13:40:57,2025-11-13 13:40:57,2525,111.0,744,70,1039,354.0,833.0,14168,2025-11-11 20:22:03,3.45.5,25003643.0,250036.0,100,A task runner / simpler Make alternative written in Go.,453.0,453.0,224,35,True,1,
1,just,casey/just,['targets-general'],written-in-rust,https://github.com/casey/just,https://github.com/casey/just,CC0-1.0,2016-06-17 06:08:08,2025-11-12 21:08:01,2025-11-12 21:07:51,1496,18.0,604,85,1480,322.0,972.0,28609,2025-11-12 21:09:56,1.43.1,23174920.0,326407.0,100,Just a command runner.,264.0,264.0,203,33,False,1,
2,mise,jdx/mise,['targets-general'],written-in-rust,https://github.com/jdx/mise,https://github.com/jdx/mise,MIT,2023-01-09 14:44:21,2025-11-13 18:08:56,2025-11-13 17:02:52,5039,513.0,724,34,3793,,,21338,2025-11-13 01:43:25,2025.11.4,1046840.0,261710.0,100,"dev tools, env vars, task runner.",,,362,30,True,2,
3,cargo-make,sagiegurari/cargo-make,['targets-rust'],written-in-rust,https://github.com/sagiegurari/cargo-make,https://github.com/sagiegurari/cargo-make,Apache-2.0,2017-06-23 12:19:21,2025-11-13 03:01:10,2025-10-29 15:15:58,2614,26.0,139,11,673,57.0,531.0,2860,2025-01-18 15:12:36,0.37.24,3231847.0,44271.0,100,Rust task runner and build tool.,138.0,138.0,79,27,True,3,
4,poethepoet,nat-n/poethepoet,['targets-python'],written-in-python,https://github.com/nat-n/poethepoet,https://github.com/nat-n/poethepoet,MIT,2020-05-28 21:56:22,2025-11-10 08:32:59,2025-08-11 16:36:12,344,,72,7,118,17.0,127.0,1868,2025-08-11 17:54:37,0.37.0,632.0,9.0,70,A task runner that works well with poetry or uv.,6072.0,6072.0,39,24,True,1,1.0
5,xc,joerdav/xc,['targets-general'],written-in-go,https://github.com/joerdav/xc,https://github.com/joerdav/xc,MIT,2021-10-15 09:00:29,2025-11-12 10:42:08,2025-11-12 10:42:07,271,6.0,32,9,98,15.0,38.0,1349,2025-07-04 09:04:58,0.8.6,64000.0,1306.0,60,Markdown defined task runner.,,,16,20,True,3,
6,taskipy,taskipy/taskipy,['targets-python'],written-in-python,https://github.com/taskipy/taskipy,https://github.com/taskipy/taskipy,MIT,2019-12-22 21:10:55,2024-11-26 16:35:16,2024-11-26 16:35:16,142,,27,6,62,10.0,28.0,650,2024-11-26 16:36:01,1.14.1,,,4,the complementary task runner for python.,7837.0,7837.0,14,19,True,3,
7,mask,jacobdeichert/mask,['targets-general'],written-in-rust,https://github.com/jacobdeichert/mask,https://github.com/jacobdeichert/mask,MIT,2019-07-06 20:47:44,2025-07-15 03:25:23,2025-07-15 03:25:20,352,,54,17,52,15.0,52.0,1506,2024-10-13 21:06:29,mask/0.11.6,54036.0,711.0,22,A CLI task runner defined by a simple markdown file.,41.0,41.0,16,18,True,3,
