,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,task,go-task/task,['targets-general'],written-in-go,https://github.com/go-task/task,https://github.com/go-task/task,MIT,2017-02-27 00:46:04,2026-02-12 10:44:38,2026-02-02 08:42:48,2645.0,120.0,772.0,70.0,1141.0,158.0,1091.0,14816.0,2026-01-26 12:30:54,3.48.0,25945565.0,282017.0,100.0,"A fast, cross-platform build tool inspired by Make, designed for modern workflows.",510.0,510.0,232.0,35,True,1.0
1,just,casey/just,['targets-general'],written-in-rust,https://github.com/casey/just,https://github.com/casey/just,CC0-1.0,2016-06-17 06:08:08,2026-02-11 16:17:06,2026-02-11 16:17:06,1551.0,55.0,663.0,89.0,1559.0,339.0,1003.0,31194.0,2026-01-02 06:55:58,1.46.0,28401253.0,389058.0,100.0,Just a command runner.,267.0,267.0,211.0,34,False,1.0
2,cargo-make,sagiegurari/cargo-make,['targets-rust'],written-in-rust,https://github.com/sagiegurari/cargo-make,https://github.com/sagiegurari/cargo-make,Apache-2.0,2017-06-23 12:19:21,2026-02-05 18:50:48,2025-10-29 15:15:58,2614.0,,145.0,10.0,690.0,59.0,531.0,2890.0,2025-01-18 15:12:36,0.37.24,3681936.0,48446.0,100.0,Rust task runner and build tool.,140.0,140.0,79.0,26,True,3.0
3,poethepoet,nat-n/poethepoet,['targets-python'],written-in-python,https://github.com/nat-n/poethepoet,https://github.com/nat-n/poethepoet,MIT,2020-05-28 21:56:22,2026-02-12 14:36:34,2026-02-08 20:26:29,367.0,22.0,72.0,7.0,135.0,16.0,137.0,1973.0,2026-02-08 20:28:54,0.41.0,642.0,9.0,74.0,A task runner that works well with poetry or uv.,6454.0,6454.0,41.0,25,True,1.0
4,mask,jacobdeichert/mask,['targets-general'],written-in-rust,https://github.com/jacobdeichert/mask,https://github.com/jacobdeichert/mask,MIT,2019-07-06 20:47:44,2026-01-10 22:37:49,2026-01-10 22:37:48,361.0,9.0,55.0,17.0,58.0,16.0,55.0,1548.0,2026-01-10 22:37:49,mask/0.11.7,56994.0,721.0,23.0,A CLI task runner defined by a simple markdown file.,41.0,41.0,17.0,20,True,3.0
5,xc,joerdav/xc,['targets-general'],written-in-go,https://github.com/joerdav/xc,https://github.com/joerdav/xc,MIT,2021-10-15 09:00:29,2026-02-06 15:45:00,2026-02-06 12:14:07,277.0,6.0,32.0,9.0,102.0,16.0,43.0,1368.0,2026-01-05 15:29:14,0.9.0,73765.0,1418.0,61.0,Markdown defined task runner.,,,16.0,20,True,3.0
6,taskipy,taskipy/taskipy,['targets-python'],written-in-python,https://github.com/taskipy/taskipy,https://github.com/taskipy/taskipy,MIT,2019-12-22 21:10:55,2024-11-26 16:35:16,2024-11-26 16:35:16,142.0,,27.0,6.0,62.0,10.0,28.0,696.0,2024-11-26 16:36:01,1.14.1,,,4.0,the complementary task runner for python.,7960.0,7960.0,14.0,19,False,3.0
7,mise,jdx/mise,['targets-general'],written-in-rust,,,,,,,,,,,,,,,,,,,,,,,,0,False,
