,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,just,casey/just,['targets-general'],written-in-rust,https://github.com/casey/just,https://github.com/casey/just,CC0-1.0,2016-06-17 06:08:08,2026-06-30 22:35:46,2026-06-30 22:35:45,1849,210.0,806,101,1882,170.0,1256.0,34534,2026-06-30 05:14:27,1.55.1,40582500.0,588152.0,100,Just a command runner.,269.0,269.0,226,37,False,1,
1,task,go-task/task,['targets-general'],written-in-go,https://github.com/go-task/task,https://github.com/go-task/task,MIT,2017-02-27 00:46:04,2026-07-02 18:37:54,2026-07-02 18:37:51,2797,98.0,841,70,1286,123.0,1186.0,15795,2026-07-02 18:53:23,3.52.0,33561094.0,372901.0,100,"A fast, cross-platform build tool inspired by Make, designed for modern workflows.",642.0,642.0,254,36,True,1,
2,mise,jdx/mise,['targets-general'],written-in-rust,https://github.com/jdx/mise,https://github.com/jdx/mise,MIT,2023-01-09 14:44:21,2026-07-02 18:50:22,2026-07-02 18:42:48,7313,1174.0,1235,43,6375,,,30358,2026-07-02 16:36:52,2026.7.0,1972972.0,394594.0,100,"dev tools, env vars, task runner.",9.0,9.0,616,33,True,2,-1.0
3,poethepoet,nat-n/poethepoet,['targets-python'],written-in-python,https://github.com/nat-n/poethepoet,https://github.com/nat-n/poethepoet,MIT,2020-05-28 21:56:22,2026-07-01 07:25:58,2026-06-30 20:54:54,407,28.0,78,8,170,11.0,151.0,2042,2026-07-01 07:26:50,0.47.1,875.0,11.0,82,A task runner that works well with poetry or uv.,7199.0,7199.0,46,26,True,1,1.0
4,cargo-make,sagiegurari/cargo-make,['targets-rust'],written-in-rust,https://github.com/sagiegurari/cargo-make,https://github.com/sagiegurari/cargo-make,Apache-2.0,2017-06-23 12:19:21,2026-02-05 18:50:48,2025-10-29 15:15:58,2614,,146,10,690,61.0,532.0,2933,2025-01-18 15:12:36,0.37.24,4600736.0,56799.0,100,Rust task runner and build tool.,142.0,142.0,79,25,True,3,
5,taskipy,taskipy/taskipy,['targets-python'],written-in-python,https://github.com/taskipy/taskipy,https://github.com/taskipy/taskipy,MIT,2019-12-22 21:10:55,2024-11-26 16:35:16,2024-11-26 16:35:16,142,,28,6,62,11.0,29.0,718,2024-11-26 16:36:01,1.14.1,,,4,the complementary task runner for python.,8147.0,8147.0,14,19,False,3,
6,mask,jacobdeichert/mask,['targets-general'],written-in-rust,https://github.com/jacobdeichert/mask,https://github.com/jacobdeichert/mask,MIT,2019-07-06 20:47:44,2026-01-10 22:37:49,2026-01-10 22:37:48,361,,58,18,62,19.0,55.0,1609,2026-01-10 22:37:49,mask/0.11.7,63392.0,754.0,23,A CLI task runner defined by a simple markdown file.,41.0,41.0,17,18,True,3,-1.0
7,xc,joerdav/xc,['targets-general'],written-in-go,https://github.com/joerdav/xc,https://github.com/joerdav/xc,MIT,2021-10-15 09:00:29,2026-05-15 17:33:57,2026-05-15 17:33:57,278,1.0,34,8,105,19.0,44.0,1389,2026-01-05 15:29:14,0.9.0,92630.0,1625.0,61,Markdown defined task runner.,,,16,18,True,3,-1.0
