,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,just,casey/just,['targets-general'],written-in-rust,https://github.com/casey/just,https://github.com/casey/just,CC0-1.0,2016-06-17 06:08:08,2026-04-09 19:19:28,2026-04-09 01:54:45,1661.0,125.0,749.0,95.0,1690.0,294.0,1101.0,32745.0,2026-04-05 05:42:27,1.49.0,32087530.0,458393.0,100.0,Just a command runner.,267.0,267.0,226.0,36,False,1.0,2.0
1,task,go-task/task,['targets-general'],written-in-go,https://github.com/go-task/task,https://github.com/go-task/task,MIT,2017-02-27 00:46:04,2026-04-09 06:25:37,2026-04-09 06:24:22,2704.0,109.0,797.0,71.0,1199.0,128.0,1144.0,15274.0,2026-03-08 20:08:19,3.49.1,28302244.0,311013.0,100.0,"A fast, cross-platform build tool inspired by Make, designed for modern workflows.",557.0,557.0,237.0,36,True,1.0,
2,cargo-make,sagiegurari/cargo-make,['targets-rust'],written-in-rust,https://github.com/sagiegurari/cargo-make,https://github.com/sagiegurari/cargo-make,Apache-2.0,2017-06-23 12:19:21,2026-02-05 18:50:48,2025-10-29 15:15:58,2614.0,,145.0,11.0,690.0,61.0,531.0,2914.0,2025-01-18 15:12:36,0.37.24,4022828.0,51574.0,100.0,Rust task runner and build tool.,140.0,140.0,79.0,26,True,3.0,
3,poethepoet,nat-n/poethepoet,['targets-python'],written-in-python,https://github.com/nat-n/poethepoet,https://github.com/nat-n/poethepoet,MIT,2020-05-28 21:56:22,2026-04-07 09:54:09,2026-04-06 15:54:31,381.0,16.0,77.0,8.0,144.0,16.0,140.0,2002.0,2026-04-06 15:55:26,0.44.0,679.0,9.0,78.0,A task runner that works well with poetry or uv.,6791.0,6791.0,45.0,25,True,1.0,
4,mask,jacobdeichert/mask,['targets-general'],written-in-rust,https://github.com/jacobdeichert/mask,https://github.com/jacobdeichert/mask,MIT,2019-07-06 20:47:44,2026-01-10 22:37:49,2026-01-10 22:37:48,361.0,9.0,58.0,18.0,62.0,19.0,55.0,1580.0,2026-01-10 22:37:49,mask/0.11.7,59369.0,732.0,23.0,A CLI task runner defined by a simple markdown file.,41.0,41.0,17.0,19,True,3.0,-1.0
5,xc,joerdav/xc,['targets-general'],written-in-go,https://github.com/joerdav/xc,https://github.com/joerdav/xc,MIT,2021-10-15 09:00:29,2026-02-06 15:45:00,2026-02-06 12:14:07,277.0,1.0,33.0,8.0,103.0,17.0,43.0,1377.0,2026-01-05 15:29:14,0.9.0,81713.0,1513.0,61.0,Markdown defined task runner.,,,16.0,19,True,3.0,-1.0
6,taskipy,taskipy/taskipy,['targets-python'],written-in-python,https://github.com/taskipy/taskipy,https://github.com/taskipy/taskipy,MIT,2019-12-22 21:10:55,2024-11-26 16:35:16,2024-11-26 16:35:16,142.0,,26.0,6.0,62.0,11.0,29.0,706.0,2024-11-26 16:36:01,1.14.1,,,4.0,the complementary task runner for python.,8048.0,8048.0,14.0,19,False,3.0,
7,mise,jdx/mise,['targets-general'],written-in-rust,,,,,,,,,,,,,,,,,,,,,,,,0,False,,-30.0
