,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,task,go-task/task,['targets-general'],written-in-go,https://github.com/go-task/task,https://github.com/go-task/task,MIT,2017-02-27 00:46:04,2026-03-19 02:03:58,2026-03-18 20:48:57,2685,95.0,791,71,1183,133.0,1133.0,15146,2026-03-08 20:08:19,3.49.1,26881931.0,298688.0,100,"A fast, cross-platform build tool inspired by Make, designed for modern workflows.",542.0,542.0,235,36,True,1,
1,just,casey/just,['targets-general'],written-in-rust,https://github.com/casey/just,https://github.com/casey/just,CC0-1.0,2016-06-17 06:08:08,2026-03-19 09:05:39,2026-03-19 03:09:12,1583,62.0,690,89,1602,326.0,1037.0,32209,2026-03-16 19:54:32,1.47.1,30482498.0,423368.0,100,Just a command runner.,267.0,267.0,217,34,False,1,1.0
2,mise,jdx/mise,['targets-general'],written-in-rust,https://github.com/jdx/mise,https://github.com/jdx/mise,MIT,2023-01-09 14:44:21,2026-03-19 00:17:29,2026-03-15 00:04:50,6011,644.0,956,37,4873,,,25826,2026-03-13 19:52:32,2026.3.9,1573184.0,262197.0,100,"dev tools, env vars, task runner.",,,467,30,True,2,
3,cargo-make,sagiegurari/cargo-make,['targets-rust'],written-in-rust,https://github.com/sagiegurari/cargo-make,https://github.com/sagiegurari/cargo-make,Apache-2.0,2017-06-23 12:19:21,2026-02-05 18:50:48,2025-10-29 15:15:58,2614,,145,11,690,60.0,531.0,2912,2025-01-18 15:12:36,0.37.24,3903334.0,50692.0,100,Rust task runner and build tool.,140.0,140.0,79,26,True,3,
4,mask,jacobdeichert/mask,['targets-general'],written-in-rust,https://github.com/jacobdeichert/mask,https://github.com/jacobdeichert/mask,MIT,2019-07-06 20:47:44,2026-01-10 22:37:49,2026-01-10 22:37:48,361,9.0,56,17,60,18.0,55.0,1571,2026-01-10 22:37:49,mask/0.11.7,58537.0,731.0,23,A CLI task runner defined by a simple markdown file.,41.0,41.0,17,20,True,3,
5,xc,joerdav/xc,['targets-general'],written-in-go,https://github.com/joerdav/xc,https://github.com/joerdav/xc,MIT,2021-10-15 09:00:29,2026-02-06 15:45:00,2026-02-06 12:14:07,277,6.0,32,9,102,17.0,43.0,1373,2026-01-05 15:29:14,0.9.0,80021.0,1509.0,61,Markdown defined task runner.,,,16,20,True,3,
6,poethepoet,nat-n/poethepoet,['targets-python'],written-in-python,https://github.com/nat-n/poethepoet,https://github.com/nat-n/poethepoet,MIT,2020-05-28 21:56:22,2026-03-11 22:38:49,2026-02-26 22:42:25,375,26.0,75,8,141,17.0,138.0,1992,2026-02-26 22:43:24,0.42.1,675.0,9.0,76,A task runner that works well with poetry or uv.,,,44,19,True,1,-6.0
7,taskipy,taskipy/taskipy,['targets-python'],written-in-python,https://github.com/taskipy/taskipy,https://github.com/taskipy/taskipy,MIT,2019-12-22 21:10:55,2024-11-26 16:35:16,2024-11-26 16:35:16,142,,27,6,62,10.0,28.0,704,2024-11-26 16:36:01,1.14.1,,,4,the complementary task runner for python.,8020.0,8020.0,14,19,False,1,
