,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,just,casey/just,['targets-general'],written-in-rust,https://github.com/casey/just,https://github.com/casey/just,CC0-1.0,2016-06-17 06:08:08,2026-05-14 06:40:06,2026-05-10 05:44:07,1694,143.0,783,100,1725,291.0,1119.0,33637,2026-05-10 05:48:31,1.51.0,35295036.0,511522.0,100,Just a command runner.,268.0,268.0,227,36,False,1
1,task,go-task/task,['targets-general'],written-in-go,https://github.com/go-task/task,https://github.com/go-task/task,MIT,2017-02-27 00:46:04,2026-05-14 18:11:42,2026-05-11 14:27:48,2742,97.0,813,70,1235,125.0,1168.0,15518,2026-04-13 21:45:25,3.50.0,30103361.0,330806.0,100,"A fast, cross-platform build tool inspired by Make, designed for modern workflows.",589.0,589.0,242,36,True,1
2,mise,jdx/mise,['targets-general'],written-in-rust,https://github.com/jdx/mise,https://github.com/jdx/mise,MIT,2023-01-09 14:44:21,2026-05-14 17:24:42,2026-05-14 17:24:42,6772,1002.0,1123,39,5761,,,28188,2026-05-13 16:11:31,2026.5.7,1002268.0,200453.0,100,"dev tools, env vars, task runner.",1.0,1.0,566,32,True,2
3,cargo-make,sagiegurari/cargo-make,['targets-rust'],written-in-rust,https://github.com/sagiegurari/cargo-make,https://github.com/sagiegurari/cargo-make,Apache-2.0,2017-06-23 12:19:21,2026-02-05 18:50:48,2025-10-29 15:15:58,2614,,144,11,690,61.0,532.0,2924,2025-01-18 15:12:36,0.37.24,4245986.0,53746.0,100,Rust task runner and build tool.,141.0,141.0,79,25,True,3
4,poethepoet,nat-n/poethepoet,['targets-python'],written-in-python,https://github.com/nat-n/poethepoet,https://github.com/nat-n/poethepoet,MIT,2020-05-28 21:56:22,2026-05-14 19:15:33,2026-05-14 19:06:40,388,21.0,78,8,155,13.0,144.0,2028,2026-04-28 20:48:43,0.45.0,783.0,11.0,79,A task runner that works well with poetry or uv.,6950.0,6950.0,46,25,True,1
5,mask,jacobdeichert/mask,['targets-general'],written-in-rust,https://github.com/jacobdeichert/mask,https://github.com/jacobdeichert/mask,MIT,2019-07-06 20:47:44,2026-01-10 22:37:49,2026-01-10 22:37:48,361,,58,18,62,19.0,55.0,1597,2026-01-10 22:37:49,mask/0.11.7,60907.0,742.0,23,A CLI task runner defined by a simple markdown file.,41.0,41.0,17,19,True,3
6,xc,joerdav/xc,['targets-general'],written-in-go,https://github.com/joerdav/xc,https://github.com/joerdav/xc,MIT,2021-10-15 09:00:29,2026-02-06 15:45:00,2026-02-06 12:14:07,277,,33,8,104,20.0,43.0,1380,2026-01-05 15:29:14,0.9.0,85980.0,1563.0,61,Markdown defined task runner.,,,16,19,True,3
7,taskipy,taskipy/taskipy,['targets-python'],written-in-python,https://github.com/taskipy/taskipy,https://github.com/taskipy/taskipy,MIT,2019-12-22 21:10:55,2024-11-26 16:35:16,2024-11-26 16:35:16,142,,28,6,62,11.0,29.0,711,2024-11-26 16:36:01,1.14.1,,,4,the complementary task runner for python.,8095.0,8095.0,14,19,False,3
