,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,task,go-task/task,['targets-general'],written-in-go,https://github.com/go-task/task,https://github.com/go-task/task,MIT,2017-02-27 00:46:04,2025-10-02 17:21:01,2025-09-23 22:34:43,2483,100.0,727,75,1014,344.0,817.0,13829,2025-09-17 15:08:44,3.45.4,30306336.0,306124.0,100,A task runner / simpler Make alternative written in Go.,434.0,434.0,219,35,True,1,
1,just,casey/just,['targets-general'],written-in-rust,https://github.com/casey/just,https://github.com/casey/just,CC0-1.0,2016-06-17 06:08:08,2025-09-27 21:10:27,2025-09-27 21:09:19,1485,29.0,588,85,1459,308.0,963.0,27932,2025-09-27 21:11:12,1.43.0,21153860.0,302198.0,100,Just a command runner.,262.0,262.0,202,33,False,1,
2,mise,jdx/mise,['targets-general'],written-in-rust,https://github.com/jdx/mise,https://github.com/jdx/mise,MIT,2023-01-09 14:44:21,2025-10-02 17:01:24,2025-10-02 16:57:49,4819,628.0,650,33,3534,,,19688,2025-10-01 18:39:13,2025.10.0,1275765.0,255153.0,100,"dev tools, env vars, task runner.",,,325,30,True,3,30.0
3,poethepoet,nat-n/poethepoet,['targets-python'],written-in-python,https://github.com/nat-n/poethepoet,https://github.com/nat-n/poethepoet,MIT,2020-05-28 21:56:22,2025-08-11 19:15:25,2025-08-11 16:36:12,344,2.0,67,9,113,16.0,127.0,1838,2025-08-11 17:54:37,0.37.0,617.0,9.0,69,A task runner that works well with poetry or uv.,5985.0,5985.0,39,23,True,1,
4,taskipy,taskipy/taskipy,['targets-python'],written-in-python,https://github.com/taskipy/taskipy,https://github.com/taskipy/taskipy,MIT,2019-12-22 21:10:55,2024-11-26 16:35:16,2024-11-26 16:35:16,142,,25,6,60,9.0,28.0,643,2024-11-26 16:36:01,1.14.1,,,4,the complementary task runner for python.,7824.0,7824.0,14,19,True,3,
5,mask,jacobdeichert/mask,['targets-general'],written-in-rust,https://github.com/jacobdeichert/mask,https://github.com/jacobdeichert/mask,MIT,2019-07-06 20:47:44,2025-07-15 03:25:23,2025-07-15 03:25:20,352,4.0,55,18,52,14.0,52.0,1473,2024-10-13 21:06:29,mask/0.11.6,52686.0,702.0,22,A CLI task runner defined by a simple markdown file.,41.0,41.0,16,18,True,3,-1.0
6,xc,joerdav/xc,['targets-general'],written-in-go,https://github.com/joerdav/xc,https://github.com/joerdav/xc,MIT,2021-10-15 09:00:29,2025-07-10 10:54:23,2025-07-10 10:54:23,265,2.0,32,11,91,15.0,37.0,1334,2025-07-04 09:04:58,0.8.6,63627.0,1325.0,60,Markdown defined task runner.,,,15,18,True,3,-2.0
