,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,just,casey/just,['targets-general'],written-in-rust,https://github.com/casey/just,https://github.com/casey/just,CC0-1.0,2016-06-17 06:08:08,2026-04-22 20:27:50,2026-04-22 20:27:49,1680,137.0,763,101,1710,291.0,1110.0,33096,2026-04-19 23:56:08,1.50.0,33418108.0,484320.0,100,Just a command runner.,268.0,268.0,226,36,False,1,
1,task,go-task/task,['targets-general'],written-in-go,https://github.com/go-task/task,https://github.com/go-task/task,MIT,2017-02-27 00:46:04,2026-04-23 00:44:57,2026-04-22 08:02:06,2726,111.0,802,70,1216,122.0,1159.0,15369,2026-04-13 21:45:25,3.50.0,28403674.0,315596.0,100,"A fast, cross-platform build tool inspired by Make, designed for modern workflows.",567.0,567.0,239,36,True,1,
2,mise,jdx/mise,['targets-general'],written-in-rust,https://github.com/jdx/mise,https://github.com/jdx/mise,MIT,2023-01-09 14:44:21,2026-04-23 19:00:30,2026-04-23 15:02:58,6452,896.0,1071,37,5363,,,27122,2026-04-23 01:14:47,2026.4.19,780784.0,156156.0,100,"dev tools, env vars, task runner.",1.0,1.0,542,31,True,2,1.0
3,cargo-make,sagiegurari/cargo-make,['targets-rust'],written-in-rust,https://github.com/sagiegurari/cargo-make,https://github.com/sagiegurari/cargo-make,Apache-2.0,2017-06-23 12:19:21,2026-02-05 18:50:48,2025-10-29 15:15:58,2614,,146,11,690,60.0,532.0,2918,2025-01-18 15:12:36,0.37.24,4116962.0,52781.0,100,Rust task runner and build tool.,141.0,141.0,79,26,True,3,
4,poethepoet,nat-n/poethepoet,['targets-python'],written-in-python,https://github.com/nat-n/poethepoet,https://github.com/nat-n/poethepoet,MIT,2020-05-28 21:56:22,2026-04-19 16:15:45,2026-04-06 15:54:31,381,16.0,79,8,149,17.0,140.0,2012,2026-04-06 15:55:26,0.44.0,686.0,9.0,78,A task runner that works well with poetry or uv.,6858.0,6858.0,45,25,True,1,
5,mask,jacobdeichert/mask,['targets-general'],written-in-rust,https://github.com/jacobdeichert/mask,https://github.com/jacobdeichert/mask,MIT,2019-07-06 20:47:44,2026-01-10 22:37:49,2026-01-10 22:37:48,361,,58,18,62,19.0,55.0,1584,2026-01-10 22:37:49,mask/0.11.7,59921.0,739.0,23,A CLI task runner defined by a simple markdown file.,41.0,41.0,17,19,True,3,
6,xc,joerdav/xc,['targets-general'],written-in-go,https://github.com/joerdav/xc,https://github.com/joerdav/xc,MIT,2021-10-15 09:00:29,2026-02-06 15:45:00,2026-02-06 12:14:07,277,1.0,33,8,103,17.0,43.0,1376,2026-01-05 15:29:14,0.9.0,84094.0,1557.0,61,Markdown defined task runner.,,,16,19,True,3,
7,taskipy,taskipy/taskipy,['targets-python'],written-in-python,https://github.com/taskipy/taskipy,https://github.com/taskipy/taskipy,MIT,2019-12-22 21:10:55,2024-11-26 16:35:16,2024-11-26 16:35:16,142,,27,6,62,11.0,29.0,708,2024-11-26 16:36:01,1.14.1,,,4,the complementary task runner for python.,8070.0,8070.0,14,19,False,3,
