,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,just,casey/just,['targets-general'],written-in-rust,https://github.com/casey/just,https://github.com/casey/just,CC0-1.0,2016-06-17 06:08:08,2026-04-28 18:16:07,2026-04-28 18:16:05,1686,142.0,767,101,1716,290.0,1115.0,33271,2026-04-19 23:56:08,1.50.0,34057285.0,493583.0,100,Just a command runner.,268.0,268.0,227,36,False,1
1,task,go-task/task,['targets-general'],written-in-go,https://github.com/go-task/task,https://github.com/go-task/task,MIT,2017-02-27 00:46:04,2026-04-30 17:50:05,2026-04-24 00:13:15,2727,87.0,806,70,1225,121.0,1164.0,15414,2026-04-13 21:45:25,3.50.0,28973965.0,321932.0,100,"A fast, cross-platform build tool inspired by Make, designed for modern workflows.",574.0,574.0,240,36,True,1
2,mise,jdx/mise,['targets-general'],written-in-rust,https://github.com/jdx/mise,https://github.com/jdx/mise,MIT,2023-01-09 14:44:21,2026-04-30 17:07:14,2026-04-30 16:50:27,6554,920.0,1091,37,5481,,,27488,2026-04-30 11:33:44,2026.4.28,771853.0,154370.0,100,"dev tools, env vars, task runner.",1.0,1.0,552,31,True,2
3,cargo-make,sagiegurari/cargo-make,['targets-rust'],written-in-rust,https://github.com/sagiegurari/cargo-make,https://github.com/sagiegurari/cargo-make,Apache-2.0,2017-06-23 12:19:21,2026-02-05 18:50:48,2025-10-29 15:15:58,2614,,146,11,690,60.0,532.0,2919,2025-01-18 15:12:36,0.37.24,4158829.0,53318.0,100,Rust task runner and build tool.,141.0,141.0,79,26,True,3
4,poethepoet,nat-n/poethepoet,['targets-python'],written-in-python,https://github.com/nat-n/poethepoet,https://github.com/nat-n/poethepoet,MIT,2020-05-28 21:56:22,2026-04-30 15:08:06,2026-04-28 20:48:23,386,21.0,79,8,151,13.0,144.0,2014,2026-04-28 20:48:43,0.45.0,770.0,11.0,79,A task runner that works well with poetry or uv.,6886.0,6886.0,46,25,True,1
5,mask,jacobdeichert/mask,['targets-general'],written-in-rust,https://github.com/jacobdeichert/mask,https://github.com/jacobdeichert/mask,MIT,2019-07-06 20:47:44,2026-01-10 22:37:49,2026-01-10 22:37:48,361,,58,18,62,19.0,55.0,1588,2026-01-10 22:37:49,mask/0.11.7,60239.0,743.0,23,A CLI task runner defined by a simple markdown file.,41.0,41.0,17,19,True,3
6,xc,joerdav/xc,['targets-general'],written-in-go,https://github.com/joerdav/xc,https://github.com/joerdav/xc,MIT,2021-10-15 09:00:29,2026-02-06 15:45:00,2026-02-06 12:14:07,277,1.0,33,8,103,17.0,43.0,1378,2026-01-05 15:29:14,0.9.0,84585.0,1566.0,61,Markdown defined task runner.,,,16,19,True,3
7,taskipy,taskipy/taskipy,['targets-python'],written-in-python,https://github.com/taskipy/taskipy,https://github.com/taskipy/taskipy,MIT,2019-12-22 21:10:55,2024-11-26 16:35:16,2024-11-26 16:35:16,142,,28,6,62,11.0,29.0,708,2024-11-26 16:36:01,1.14.1,,,4,the complementary task runner for python.,8077.0,8077.0,14,19,False,3
