,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,task,go-task/task,['targets-general'],written-in-go,https://github.com/go-task/task,https://github.com/go-task/task,MIT,2017-02-27 00:46:04,2026-01-29 02:01:17,2026-01-28 18:21:50,2640,147.0,767,70,1126,169.0,1073.0,14715,2026-01-26 12:30:54,3.48.0,25050437.0,275279.0,100,"A fast, cross-platform build tool inspired by Make, designed for modern workflows.",496.0,496.0,232,35,True,1,
1,just,casey/just,['targets-general'],written-in-rust,https://github.com/casey/just,https://github.com/casey/just,CC0-1.0,2016-06-17 06:08:08,2026-01-26 20:57:05,2026-01-26 20:57:05,1544,52.0,649,87,1548,337.0,1000.0,30128,2026-01-02 06:55:58,1.46.0,27566836.0,382872.0,100,Just a command runner.,267.0,267.0,209,34,False,1,
2,mise,jdx/mise,['targets-general'],written-in-rust,https://github.com/jdx/mise,https://github.com/jdx/mise,MIT,2023-01-09 14:44:21,2026-01-29 14:53:46,2026-01-29 14:24:33,5607,623.0,842,36,4412,,,23865,2026-01-28 18:49:38,2026.1.9,1600042.0,320008.0,100,"dev tools, env vars, task runner.",,,425,30,True,2,30.0
3,cargo-make,sagiegurari/cargo-make,['targets-rust'],written-in-rust,https://github.com/sagiegurari/cargo-make,https://github.com/sagiegurari/cargo-make,Apache-2.0,2017-06-23 12:19:21,2026-01-19 03:12:11,2025-10-29 15:15:58,2614,,147,10,687,58.0,531.0,2887,2025-01-18 15:12:36,0.37.24,3596412.0,47952.0,100,Rust task runner and build tool.,140.0,140.0,79,26,True,3,
4,poethepoet,nat-n/poethepoet,['targets-python'],written-in-python,https://github.com/nat-n/poethepoet,https://github.com/nat-n/poethepoet,MIT,2020-05-28 21:56:22,2026-01-26 00:14:54,2026-01-06 16:56:26,365,21.0,70,7,131,16.0,135.0,1964,2026-01-05 18:00:48,0.40.0,638.0,9.0,73,A task runner that works well with poetry or uv.,6376.0,6376.0,41,25,True,1,
5,xc,joerdav/xc,['targets-general'],written-in-go,https://github.com/joerdav/xc,https://github.com/joerdav/xc,MIT,2021-10-15 09:00:29,2026-01-05 15:34:55,2026-01-05 15:34:55,276,10.0,32,9,99,17.0,42.0,1367,2026-01-05 15:29:14,0.9.0,72049.0,1412.0,61,Markdown defined task runner.,,,16,21,True,3,
6,mask,jacobdeichert/mask,['targets-general'],written-in-rust,https://github.com/jacobdeichert/mask,https://github.com/jacobdeichert/mask,MIT,2019-07-06 20:47:44,2026-01-10 22:37:49,2026-01-10 22:37:48,361,9.0,55,17,58,15.0,55.0,1538,2026-01-10 22:37:49,mask/0.11.7,56549.0,724.0,23,A CLI task runner defined by a simple markdown file.,41.0,41.0,17,20,True,3,
7,taskipy,taskipy/taskipy,['targets-python'],written-in-python,https://github.com/taskipy/taskipy,https://github.com/taskipy/taskipy,MIT,2019-12-22 21:10:55,2024-11-26 16:35:16,2024-11-26 16:35:16,142,,27,6,62,10.0,28.0,694,2024-11-26 16:36:01,1.14.1,,,4,the complementary task runner for python.,7930.0,7930.0,14,19,False,3,
