,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,just,casey/just,['targets-general'],written-in-rust,https://github.com/casey/just,https://github.com/casey/just,CC0-1.0,2016-06-17 06:08:08,2026-05-29 02:09:12,2026-05-29 02:09:11,1700,148.0,789,101,1729,287.0,1128.0,34188,2026-05-10 05:48:31,1.51.0,37402826.0,534326.0,100,Just a command runner.,268.0,268.0,226,36,False,1,
1,task,go-task/task,['targets-general'],written-in-go,https://github.com/go-task/task,https://github.com/go-task/task,MIT,2017-02-27 00:46:04,2026-06-04 11:37:24,2026-05-31 09:13:28,2760,90.0,826,70,1260,128.0,1176.0,15665,2026-05-16 21:06:54,3.51.1,30957451.0,343971.0,100,"A fast, cross-platform build tool inspired by Make, designed for modern workflows.",612.0,612.0,245,36,True,1,
2,mise,jdx/mise,['targets-general'],written-in-rust,https://github.com/jdx/mise,https://github.com/jdx/mise,MIT,2023-01-09 14:44:21,2026-06-04 17:35:44,2026-06-04 17:26:57,6982,1030.0,1173,41,6018,,,29109,2026-06-03 18:02:06,2026.6.0,1366702.0,273340.0,100,"dev tools, env vars, task runner.",9.0,9.0,589,33,True,2,1.0
3,cargo-make,sagiegurari/cargo-make,['targets-rust'],written-in-rust,https://github.com/sagiegurari/cargo-make,https://github.com/sagiegurari/cargo-make,Apache-2.0,2017-06-23 12:19:21,2026-02-05 18:50:48,2025-10-29 15:15:58,2614,,144,11,690,61.0,532.0,2927,2025-01-18 15:12:36,0.37.24,4397479.0,54968.0,100,Rust task runner and build tool.,141.0,141.0,79,25,True,3,
4,poethepoet,nat-n/poethepoet,['targets-python'],written-in-python,https://github.com/nat-n/poethepoet,https://github.com/nat-n/poethepoet,MIT,2020-05-28 21:56:22,2026-06-01 21:14:42,2026-05-14 19:06:40,388,13.0,78,8,162,16.0,145.0,2041,2026-05-15 15:42:34,0.46.0,794.0,11.0,80,A task runner that works well with poetry or uv.,7067.0,7067.0,46,25,True,1,
5,mask,jacobdeichert/mask,['targets-general'],written-in-rust,https://github.com/jacobdeichert/mask,https://github.com/jacobdeichert/mask,MIT,2019-07-06 20:47:44,2026-01-10 22:37:49,2026-01-10 22:37:48,361,,58,18,62,19.0,55.0,1605,2026-01-10 22:37:49,mask/0.11.7,61914.0,745.0,23,A CLI task runner defined by a simple markdown file.,41.0,41.0,17,19,True,3,
6,xc,joerdav/xc,['targets-general'],written-in-go,https://github.com/joerdav/xc,https://github.com/joerdav/xc,MIT,2021-10-15 09:00:29,2026-05-15 17:33:57,2026-05-15 17:33:57,278,1.0,33,8,104,19.0,44.0,1385,2026-01-05 15:29:14,0.9.0,89759.0,1602.0,61,Markdown defined task runner.,,,16,19,True,3,
7,taskipy,taskipy/taskipy,['targets-python'],written-in-python,https://github.com/taskipy/taskipy,https://github.com/taskipy/taskipy,MIT,2019-12-22 21:10:55,2024-11-26 16:35:16,2024-11-26 16:35:16,142,,28,6,62,11.0,29.0,714,2024-11-26 16:36:01,1.14.1,,,4,the complementary task runner for python.,8128.0,8128.0,14,19,False,3,
