,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,task,go-task/task,['targets-general'],written-in-go,https://github.com/go-task/task,https://github.com/go-task/task,MIT,2017-02-27 00:46:04,2025-10-09 10:02:09,2025-09-23 22:34:43,2483.0,93.0,730.0,74.0,1017.0,345.0,817.0,13891.0,2025-09-17 15:08:44,3.45.4,23127945.0,233615.0,100.0,A task runner / simpler Make alternative written in Go.,438.0,438.0,219.0,35,True,1.0,
1,just,casey/just,['targets-general'],written-in-rust,https://github.com/casey/just,https://github.com/casey/just,CC0-1.0,2016-06-17 06:08:08,2025-10-06 21:02:08,2025-10-06 21:02:06,1486.0,27.0,589.0,85.0,1462.0,308.0,966.0,28044.0,2025-09-27 21:11:12,1.43.0,21486052.0,306943.0,100.0,Just a command runner.,263.0,263.0,202.0,33,False,1.0,
2,poethepoet,nat-n/poethepoet,['targets-python'],written-in-python,https://github.com/nat-n/poethepoet,https://github.com/nat-n/poethepoet,MIT,2020-05-28 21:56:22,2025-08-11 19:15:25,2025-08-11 16:36:12,344.0,2.0,67.0,8.0,113.0,16.0,127.0,1844.0,2025-08-11 17:54:37,0.37.0,617.0,9.0,69.0,A task runner that works well with poetry or uv.,5994.0,5994.0,39.0,23,True,1.0,
3,xc,joerdav/xc,['targets-general'],written-in-go,https://github.com/joerdav/xc,https://github.com/joerdav/xc,MIT,2021-10-15 09:00:29,2025-07-10 10:54:23,2025-07-10 10:54:23,265.0,,32.0,10.0,91.0,15.0,37.0,1333.0,2025-07-04 09:04:58,0.8.6,61149.0,1273.0,60.0,Markdown defined task runner.,,,15.0,19,True,3.0,-1.0
4,taskipy,taskipy/taskipy,['targets-python'],written-in-python,https://github.com/taskipy/taskipy,https://github.com/taskipy/taskipy,MIT,2019-12-22 21:10:55,2024-11-26 16:35:16,2024-11-26 16:35:16,142.0,,26.0,6.0,60.0,9.0,28.0,643.0,2024-11-26 16:36:01,1.14.1,,,4.0,the complementary task runner for python.,7828.0,7828.0,14.0,19,True,3.0,
5,mask,jacobdeichert/mask,['targets-general'],written-in-rust,https://github.com/jacobdeichert/mask,https://github.com/jacobdeichert/mask,MIT,2019-07-06 20:47:44,2025-07-15 03:25:23,2025-07-15 03:25:20,352.0,4.0,54.0,17.0,52.0,14.0,52.0,1476.0,2024-10-13 21:06:29,mask/0.11.6,52892.0,705.0,22.0,A CLI task runner defined by a simple markdown file.,41.0,41.0,16.0,18,True,3.0,-1.0
6,mise,jdx/mise,['targets-general'],written-in-rust,,,,,,,,,,,,,,,,,,,,,,,,0,False,,
