,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,task,go-task/task,['targets-general'],written-in-go,https://github.com/go-task/task,https://github.com/go-task/task,MIT,2017-02-27 00:46:04,2025-10-16 14:41:13,2025-10-12 11:30:28,2492,101.0,734,75,1020,345.0,820.0,13960,2025-09-17 15:08:44,3.45.4,23551867.0,237897.0,100,A task runner / simpler Make alternative written in Go.,439.0,439.0,222,35,True,1,
1,just,casey/just,['targets-general'],written-in-rust,https://github.com/casey/just,https://github.com/casey/just,CC0-1.0,2016-06-17 06:08:08,2025-10-13 18:54:12,2025-10-13 18:54:11,1488,22.0,593,85,1466,311.0,967.0,28153,2025-09-27 21:11:12,1.43.0,21819774.0,311711.0,100,Just a command runner.,263.0,263.0,202,33,False,1,
2,mise,jdx/mise,['targets-general'],written-in-rust,https://github.com/jdx/mise,https://github.com/jdx/mise,MIT,2023-01-09 14:44:21,2025-10-16 14:06:23,2025-10-16 13:57:47,4894,574.0,672,33,3622,,,20528,2025-10-16 14:45:20,2025.10.10,649312.0,129862.0,100,"dev tools, env vars, task runner.",,,338,30,True,3,
3,poethepoet,nat-n/poethepoet,['targets-python'],written-in-python,https://github.com/nat-n/poethepoet,https://github.com/nat-n/poethepoet,MIT,2020-05-28 21:56:22,2025-10-12 21:35:46,2025-08-11 16:36:12,344,2.0,68,8,115,16.0,127.0,1852,2025-08-11 17:54:37,0.37.0,617.0,9.0,70,A task runner that works well with poetry or uv.,6006.0,6006.0,39,23,True,1,
4,xc,joerdav/xc,['targets-general'],written-in-go,https://github.com/joerdav/xc,https://github.com/joerdav/xc,MIT,2021-10-15 09:00:29,2025-07-10 10:54:23,2025-07-10 10:54:23,265,,32,10,91,15.0,37.0,1335,2025-07-04 09:04:58,0.8.6,61703.0,1285.0,60,Markdown defined task runner.,,,15,19,True,3,1.0
5,taskipy,taskipy/taskipy,['targets-python'],written-in-python,https://github.com/taskipy/taskipy,https://github.com/taskipy/taskipy,MIT,2019-12-22 21:10:55,2024-11-26 16:35:16,2024-11-26 16:35:16,142,,26,6,60,9.0,28.0,645,2024-11-26 16:36:01,1.14.1,,,4,the complementary task runner for python.,7829.0,7829.0,14,19,True,3,
6,mask,jacobdeichert/mask,['targets-general'],written-in-rust,https://github.com/jacobdeichert/mask,https://github.com/jacobdeichert/mask,MIT,2019-07-06 20:47:44,2025-07-15 03:25:23,2025-07-15 03:25:20,352,,54,17,52,14.0,52.0,1481,2024-10-13 21:06:29,mask/0.11.6,53030.0,707.0,22,A CLI task runner defined by a simple markdown file.,41.0,41.0,16,18,True,3,
