,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,task,go-task/task,['targets-general'],written-in-go,https://github.com/go-task/task,https://github.com/go-task/task,MIT,2017-02-27 00:46:04,2026-01-08 17:28:17,2025-12-24 21:57:17,2595.0,105.0,759.0,70.0,1104.0,186.0,1035.0,14544.0,2025-12-24 22:03:48,3.46.4,25246334.0,268578.0,100.0,A task runner / simpler Make alternative written in Go.,488.0,488.0,230.0,35,True,1.0,
1,just,casey/just,['targets-general'],written-in-rust,https://github.com/casey/just,https://github.com/casey/just,CC0-1.0,2016-06-17 06:08:08,2026-01-02 09:31:15,2026-01-02 09:31:15,1536.0,50.0,637.0,85.0,1534.0,332.0,996.0,29668.0,2026-01-02 06:55:58,1.46.0,26242398.0,364477.0,100.0,Just a command runner.,265.0,265.0,207.0,34,False,1.0,1.0
2,cargo-make,sagiegurari/cargo-make,['targets-rust'],written-in-rust,https://github.com/sagiegurari/cargo-make,https://github.com/sagiegurari/cargo-make,Apache-2.0,2017-06-23 12:19:21,2026-01-08 03:06:22,2025-10-29 15:15:58,2614.0,26.0,143.0,10.0,683.0,58.0,531.0,2885.0,2025-01-18 15:12:36,0.37.24,3488525.0,46513.0,100.0,Rust task runner and build tool.,140.0,140.0,79.0,27,True,3.0,
3,poethepoet,nat-n/poethepoet,['targets-python'],written-in-python,https://github.com/nat-n/poethepoet,https://github.com/nat-n/poethepoet,MIT,2020-05-28 21:56:22,2026-01-06 16:56:56,2026-01-06 16:56:26,365.0,21.0,70.0,7.0,131.0,15.0,134.0,1944.0,2026-01-05 18:00:48,0.40.0,638.0,9.0,73.0,A task runner that works well with poetry or uv.,6155.0,6155.0,41.0,25,True,1.0,1.0
4,xc,joerdav/xc,['targets-general'],written-in-go,https://github.com/joerdav/xc,https://github.com/joerdav/xc,MIT,2021-10-15 09:00:29,2026-01-05 15:34:55,2026-01-05 15:34:55,276.0,11.0,32.0,9.0,99.0,14.0,42.0,1363.0,2026-01-05 15:29:14,0.9.0,69550.0,1363.0,61.0,Markdown defined task runner.,,,16.0,21,True,3.0,1.0
5,taskipy,taskipy/taskipy,['targets-python'],written-in-python,https://github.com/taskipy/taskipy,https://github.com/taskipy/taskipy,MIT,2019-12-22 21:10:55,2024-11-26 16:35:16,2024-11-26 16:35:16,142.0,,26.0,6.0,62.0,10.0,28.0,686.0,2024-11-26 16:36:01,1.14.1,,,4.0,the complementary task runner for python.,7878.0,7878.0,14.0,19,False,3.0,
6,mask,jacobdeichert/mask,['targets-general'],written-in-rust,https://github.com/jacobdeichert/mask,https://github.com/jacobdeichert/mask,MIT,2019-07-06 20:47:44,2025-07-15 03:25:23,2025-07-15 03:25:20,352.0,,55.0,17.0,53.0,17.0,52.0,1526.0,2024-10-13 21:06:29,mask/0.11.6,55693.0,714.0,22.0,A CLI task runner defined by a simple markdown file.,41.0,41.0,16.0,18,True,3.0,
7,mise,jdx/mise,['targets-general'],written-in-rust,,,,,,,,,,,,,,,,,,,,,,,,0,False,,-30.0
