,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,task,go-task/task,['targets-general'],written-in-go,https://github.com/go-task/task,https://github.com/go-task/task,MIT,2017-02-27 00:46:04,2026-02-05 14:59:30,2026-02-02 08:42:48,2645.0,142.0,771.0,70.0,1136.0,162.0,1083.0,14774.0,2026-01-26 12:30:54,3.48.0,25497004.0,277141.0,100.0,"A fast, cross-platform build tool inspired by Make, designed for modern workflows.",498.0,498.0,232.0,35,True,1.0,
1,just,casey/just,['targets-general'],written-in-rust,https://github.com/casey/just,https://github.com/casey/just,CC0-1.0,2016-06-17 06:08:08,2026-02-05 06:42:53,2026-02-04 00:32:47,1550.0,57.0,660.0,88.0,1558.0,341.0,1000.0,30921.0,2026-01-02 06:55:58,1.46.0,27977001.0,383246.0,100.0,Just a command runner.,267.0,267.0,210.0,34,False,1.0,
2,cargo-make,sagiegurari/cargo-make,['targets-rust'],written-in-rust,https://github.com/sagiegurari/cargo-make,https://github.com/sagiegurari/cargo-make,Apache-2.0,2017-06-23 12:19:21,2026-02-05 18:50:48,2025-10-29 15:15:58,2614.0,,146.0,10.0,690.0,58.0,531.0,2889.0,2025-01-18 15:12:36,0.37.24,3636745.0,47851.0,100.0,Rust task runner and build tool.,140.0,140.0,79.0,26,True,3.0,
3,poethepoet,nat-n/poethepoet,['targets-python'],written-in-python,https://github.com/nat-n/poethepoet,https://github.com/nat-n/poethepoet,MIT,2020-05-28 21:56:22,2026-01-26 00:14:54,2026-01-06 16:56:26,365.0,21.0,70.0,7.0,131.0,16.0,135.0,1971.0,2026-01-05 18:00:48,0.40.0,638.0,9.0,73.0,A task runner that works well with poetry or uv.,6415.0,6415.0,41.0,25,True,1.0,
4,mask,jacobdeichert/mask,['targets-general'],written-in-rust,https://github.com/jacobdeichert/mask,https://github.com/jacobdeichert/mask,MIT,2019-07-06 20:47:44,2026-01-10 22:37:49,2026-01-10 22:37:48,361.0,9.0,55.0,17.0,58.0,16.0,55.0,1540.0,2026-01-10 22:37:49,mask/0.11.7,56783.0,718.0,23.0,A CLI task runner defined by a simple markdown file.,41.0,41.0,17.0,20,True,3.0,
5,xc,joerdav/xc,['targets-general'],written-in-go,https://github.com/joerdav/xc,https://github.com/joerdav/xc,MIT,2021-10-15 09:00:29,2026-01-05 15:34:55,2026-01-05 15:34:55,276.0,7.0,32.0,9.0,99.0,17.0,42.0,1368.0,2026-01-05 15:29:14,0.9.0,72855.0,1401.0,61.0,Markdown defined task runner.,,,16.0,20,True,3.0,-1.0
6,taskipy,taskipy/taskipy,['targets-python'],written-in-python,https://github.com/taskipy/taskipy,https://github.com/taskipy/taskipy,MIT,2019-12-22 21:10:55,2024-11-26 16:35:16,2024-11-26 16:35:16,142.0,,27.0,6.0,62.0,10.0,28.0,694.0,2024-11-26 16:36:01,1.14.1,,,4.0,the complementary task runner for python.,7943.0,7943.0,14.0,19,False,3.0,
7,mise,jdx/mise,['targets-general'],written-in-rust,,,,,,,,,,,,,,,,,,,,,,,,0,False,,-30.0
